waveform_index,scheduled_s,completed_s,late_s,points_returned,points_saved
377,73945.843389653,74046.838122463,100.77518108599179,10000,2500
378,73945.84348965301,74047.127107425,100.99464640599035,10000,2500
379,73945.843589653,74047.361199458,101.28352334100055,10000,2500
380,73945.843689653,74047.851167385,101.51752370799659,10000,2500
381,73945.84378965301,74048.140751141,102.00738353798806,10000,2500
382,73945.843889653,74048.426689819,102.2968674290023,10000,2500
383,73945.843989653,74048.665602741,102.58270573600021,10000,2500
384,73945.84408965301,74048.882895819,102.82151899399469,10000,2500
385,73945.844189653,74049.090048714,103.03871856699698,10000,2500
386,73945.844289653,74049.404094723,103.24577164799848,10000,2500
387,73945.84438965301,74049.720384411,103.55971054299152,10000,2500
388,73945.844489653,74049.942088997,103.8759004809981,10000,2500
389,73945.844589653,74050.303153919,104.09750549599994,10000,2500
390,73945.84468965301,74050.513220037,104.4584698349936,10000,2500
391,73945.844789653,74050.740910621,104.66844378400128,10000,2500
392,73945.844889653,74050.963697079,104.89602682899567,10000,2500
393,73945.84498965301,74051.269653502,105.11871655499272,10000,2500
394,73945.845089653,74051.495579223,105.424577081998,10000,2500
395,73945.845189653,74051.720921939,105.65039588499349,10000,2500
396,73945.845289653,74052.048082496,105.87564533199475,10000,2500
397,73945.845389653,74052.374681337,106.20270564300881,10000,2500
398,73945.845489653,74052.604754616,106.52919756599294,10000,2500
399,73945.845589653,74052.907766799,106.75917144899722,10000,2500
400,73945.845689653,74053.178699531,107.06210951099638,10000,2500
